number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,user_attrs_MAE,user_attrs_MSE,user_attrs_R2,user_attrs_RMSE,state
46,0.8404997572638419,2025-09-20 22:40:07.391176,2025-09-20 22:40:08.647748,0 days 00:00:01.256572,0.8642366222840133,3,0.8747316799829657,0.014495487863714667,0.0004035519299781878,0.08207581160526606,5,8,900,52,129.42696348569316,39149.377235603584,0.8404997572638419,197.86201564626694,COMPLETE
47,0.8395648759718654,2025-09-20 22:40:08.648292,2025-09-20 22:40:09.892928,0 days 00:00:01.244636,0.726553613539785,3,0.8828242316529367,0.013890910841256316,1.3863231526115678e-05,0.08374909441463549,5,8,900,53,129.46824732223718,39376.832924071205,0.8395648759718654,198.43596681063443,COMPLETE
45,0.8394171341789655,2025-09-20 22:40:06.120538,2025-09-20 22:40:07.390637,0 days 00:00:01.270099,0.8666786540540837,3,0.8731863392758168,0.012522567044176005,3.4417401193936856e-05,0.08074061066196125,5,9,900,56,129.76523546486868,39416.21993512627,0.8394171341789655,198.53518563500594,COMPLETE
48,0.8390582910674371,2025-09-20 22:40:09.893486,2025-09-20 22:40:11.539825,0 days 00:00:01.646339,0.7161888546635992,3,0.8775417005106366,0.01854815458361188,4.640517775709091e-06,0.0813840035077053,4,8,1000,51,129.81604581128846,39508.06954287503,0.8390582910674371,198.76636924508892,COMPLETE
35,0.8389525272923312,2025-09-20 22:39:50.082579,2025-09-20 22:39:51.659660,0 days 00:00:01.577081,0.880095562009363,4,0.9294430037149694,0.0010660813328447593,2.0900615059902765e-06,0.0767483823614066,6,35,900,96,129.9811562484157,39525.73893714931,0.8389525272923312,198.8108119221621,COMPLETE
49,0.8388551336627879,2025-09-20 22:40:11.540374,2025-09-20 22:40:12.938025,0 days 00:00:01.397651,0.7116876060718795,3,0.875751516595705,0.023415658262154634,4.553335618582924e-06,0.08116119562686805,5,10,1000,56,129.99112647394588,39552.04438782101,0.8388551336627879,198.87695791071678,COMPLETE
13,0.8384921790872945,2025-09-20 22:39:19.025912,2025-09-20 22:39:19.964179,0 days 00:00:00.938267,0.9473260509997643,3,0.9989069932940516,0.12949589798758904,8.60579071331113,0.09475734313713946,3,34,900,100,129.89130213580202,39642.75927261285,0.8384921790872945,199.1048951498,COMPLETE
40,0.8383765361145983,2025-09-20 22:39:56.291276,2025-09-20 22:39:58.543023,0 days 00:00:02.251747,0.8238146611990935,3,0.7862573284662979,0.0004603428225461592,5.142232394455446e-05,0.011534957564490328,7,9,900,63,129.76056290522814,39670.41473311469,0.8383765361145983,199.17433251580056,COMPLETE
26,0.8383417116864867,2025-09-20 22:39:35.957545,2025-09-20 22:39:37.204979,0 days 00:00:01.247434,0.9653470058040062,6,0.8039681995652671,0.0013312947196436528,0.0006769238675195782,0.06654805777644986,6,38,800,92,129.82247349760073,39676.959266262,0.8383417116864867,199.19076099624198,COMPLETE
32,0.8381049385655531,2025-09-20 22:39:45.331188,2025-09-20 22:39:46.823681,0 days 00:00:01.492493,0.9509831743090543,1,0.6897317183969085,0.5791359385867206,7.408612522814434e-05,0.05028540041731137,8,36,600,94,130.3122667249734,39731.95186189393,0.8381049385655531,199.3287532241496,COMPLETE
12,0.8380799618780255,2025-09-20 22:39:18.079615,2025-09-20 22:39:19.025426,0 days 00:00:00.945811,0.9977570979784889,4,0.9699354484362461,0.06159770790630958,7.116092630028837,0.09599522569760753,3,33,1000,99,130.09596708730442,39743.33201313681,0.8380799618780255,199.35729736615315,COMPLETE
16,0.8380411394873818,2025-09-20 22:39:22.893389,2025-09-20 22:39:24.383722,0 days 00:00:01.490333,0.9248459523385741,1,0.6700924205232116,0.21943657400844102,0.0026377176482345528,0.06527973967994091,8,37,600,80,130.3144507903614,39748.658172977164,0.8380411394873818,199.37065524539253,COMPLETE
10,0.8379645998842191,2025-09-20 22:39:16.186130,2025-09-20 22:39:17.137160,0 days 00:00:00.951030,0.9974275040123064,5,0.9971886394383759,0.010822321066679642,3.0949361494968985,0.09283036770531385,3,35,1000,99,130.09726105081828,39780.2329004141,0.8379645998842191,199.4498255211423,COMPLETE
20,0.8378925020005423,2025-09-20 22:39:27.417051,2025-09-20 22:39:28.428979,0 days 00:00:01.011928,0.9567570426025701,2,0.9536480697640668,2.377927680350578e-06,0.027789902820085078,0.07338140318046736,3,30,900,76,130.07475508310728,39796.4632392636,0.8378925020005423,199.4905091458328,COMPLETE
28,0.8377683993663746,2025-09-20 22:39:38.569894,2025-09-20 22:39:40.057604,0 days 00:00:01.487710,0.6936067487606681,6,0.8109801560634208,7.756196954192881e-05,0.00012980124521449346,0.04092763271579991,6,29,900,61,129.7083313839268,39817.53405607463,0.8377683993663746,199.54331373432345,COMPLETE
24,0.8377676053720148,2025-09-20 22:39:32.561190,2025-09-20 22:39:33.560256,0 days 00:00:00.999066,0.9648266999197186,4,0.5082158828312691,0.0663362906877294,0.21333523175970553,0.036012679061376285,4,40,900,83,130.05011667919226,39817.525318523825,0.8377676053720148,199.54329184045207,COMPLETE
25,0.8376760861112041,2025-09-20 22:39:33.560888,2025-09-20 22:39:35.957062,0 days 00:00:02.396174,0.9099216726831624,2,0.6131774045664372,0.005074696851654904,2.3160044263855575,0.013204585558322116,7,25,1000,74,130.48923012576887,39843.950689680525,0.8376760861112041,199.60949548977004,COMPLETE
23,0.8376362903203921,2025-09-20 22:39:31.505545,2025-09-20 22:39:32.560610,0 days 00:00:01.055065,0.8059685076039662,1,0.7081491720386666,0.34211911683549084,0.9139651202396668,0.09835199389308315,5,33,700,100,130.58589341057785,39846.85612153115,0.8376362903203921,199.6167731467753,COMPLETE
17,0.8375690808259086,2025-09-20 22:39:24.384288,2025-09-20 22:39:25.370422,0 days 00:00:00.986134,0.7994167468465435,4,0.8460741068030226,0.1485422228698618,0.41910848568762965,0.027474413907095582,4,28,900,100,130.15477368099988,39868.10428882725,0.8375690808259086,199.66998845301526,COMPLETE
15,0.8374034253561696,2025-09-20 22:39:21.832392,2025-09-20 22:39:22.892778,0 days 00:00:01.060386,0.9257915858233535,3,0.9588103564372423,4.954623831832601e-06,0.06072958572889368,0.033319658362838,4,26,900,87,130.10825650623028,39914.6319340215,0.8374034253561696,199.7864658429632,COMPLETE
33,0.837341861299915,2025-09-20 22:39:46.824562,2025-09-20 22:39:48.693996,0 days 00:00:01.869434,0.9519287167072118,6,0.7212034273946548,1.6142931104710332,3.9329898322430234e-07,0.05317983004962359,8,44,800,94,130.5974479570832,39918.34663175808,0.837341861299915,199.79576229679668,COMPLETE
11,0.8372492704324996,2025-09-20 22:39:17.137696,2025-09-20 22:39:18.079161,0 days 00:00:00.941465,0.9995226785541373,5,0.9936592785977973,0.026389256257616456,1.0984049783849428,0.09555790133120935,3,35,1000,94,130.38114111587305,39947.57247804606,0.8372492704324996,199.8688882193676,COMPLETE
38,0.8370823965360996,2025-09-20 22:39:54.525868,2025-09-20 22:39:55.559821,0 days 00:00:01.033953,0.7874920375192137,2,0.7058227163510258,0.0014575254175306703,5.047695832773925e-07,0.044488182635433436,8,42,400,95,130.6401588706806,39983.59040934821,0.8370823965360996,199.95897181509062,COMPLETE
4,0.8370465341599662,2025-09-20 22:39:08.225789,2025-09-20 22:39:09.955023,0 days 00:00:01.729234,0.8715683925394717,5,0.9141992477052556,0.00337399725242761,5.2435330941036523e-08,0.018687980576661375,7,43,800,84,129.9701169635191,39992.533125401555,0.8370465341599662,199.98133194226293,COMPLETE
19,0.836833543387786,2025-09-20 22:39:25.581347,2025-09-20 22:39:27.416506,0 days 00:00:01.835159,0.6906276930744999,6,0.652423777352822,0.0692439634024193,8.67787108869706,0.02188775785892112,9,37,700,88,130.53808023556934,40048.26746148678,0.836833543387786,200.12063227335352,COMPLETE
