선석,선사,모선항차,선사항차,선명,항로,반입마감시한,접안예정일시,출항예정일시,양하,적하,Shift,AMP,상태
T1(S),FES,FDMD002,707S/707S,FESCO DIOMID,AAC,2025-07-29 12:00,2025-07-30 00:00,2025-07-30 08:00,293,0,0,N,DEPARTED
T1(S),ONE,ONEO008,0035S/0035S,MARINA ONE,CTP,2025-07-29 22:00,2025-07-30 10:00,2025-07-31 09:00,561,509,0,N,DEPARTED
T1(S),HMM,HHPV005,0112S/0112S,HYUNDAI PRIVILEGE,NEAX,2025-07-31 00:00,2025-07-31 12:00,2025-08-01 13:00,1249,936,0,N,DEPARTED
T2(S),ONE,OHLL002,0226E/0226E,ONE HONOLULU,EC1E,2025-07-31 00:36,2025-07-31 12:36,2025-08-01 05:12,491,988,2,N,DEPARTED
T3(S),FES,KBYA001,1092N/1092N,KAPITAN BYANKIN,KRS,2025-07-31 02:06,2025-07-31 14:06,2025-07-31 23:42,68,263,0,N,DEPARTED
T3(S),HMM,HHMN006,0006S/0006S,HMM MANILA,ICN,2025-07-31 02:18,2025-07-31 14:18,2025-08-01 01:00,426,41,0,N,DEPARTED
T2(P),YML,YUNC001,0076W/0076W,YM UNICORN,PS3W,2025-07-31 19:18,2025-08-01 07:18,2025-08-02 05:00,516,653,246,Y,DEPARTED
T3(S),XPR,ASCR030,0031W/0031W,AS CHRISTIANA,BH2,2025-07-31 20:00,2025-08-01 08:00,2025-08-02 10:00,1169,985,0,N,DEPARTED
T1(S),ONE,OTDN009,0027N/0027N,TS DALIAN,JPHN,2025-08-01 08:00,2025-08-01 20:00,2025-08-02 06:00,345,410,6,N,DEPARTED
T2(S),ONE,OOFO001,0005E/0005E,ONE FOCUS,MS2E,2025-08-01 20:00,2025-08-02 08:00,2025-08-03 05:00,703,1314,130,Y,DEPARTED
T2(S),HMM,HHCR002,0119W/0119W,HYUNDAI COURAGE,FIM,2025-08-03 00:18,2025-08-03 12:18,2025-08-04 11:00,1155,963,0,N,DEPARTED
T1(S),ONE,OLSF018,0223S/0223S,LOS ANDES BRIDGE,JPHS,2025-08-03 01:12,2025-08-03 13:12,2025-08-04 04:00,466,548,0,N,DEPARTED
T1(S),HMM,HTOP009,0014W/0014W,HAIAN OPUS,ICN,2025-08-04 20:00,2025-08-05 08:00,2025-08-05 21:00,792,181,0,N,DEPARTED
T3(S),HLC,YJUX002,0114S/0114S,WIDE JULIET,NEAX,2025-08-05 19:12,2025-08-06 07:12,2025-08-07 04:06,1233,738,54,N,DEPARTED
T2(P),YML,YMMU004,0107W/0107W,YM MUTUALITY,PN3W,2025-08-06 05:18,2025-08-06 17:18,2025-08-07 09:00,1209,393,0,Y,DEPARTED
T3(S),ONE,OCNT002,0021E/0021E,CONTI CONTESSA,EC1E,2025-08-06 21:06,2025-08-07 09:06,2025-08-08 06:00,355,1160,110,Y,DEPARTED
T1(S),XPR,ASCR031,0032W/0032W,AS CHRISTIANA,BH2,2025-08-07 02:12,2025-08-07 14:12,2025-08-08 16:00,981,590,0,N,DEPARTED
T2(S),ONE,OCET003,0094W/0094W,ONE COMPETENCE,PS3W,2025-08-07 03:00,2025-08-07 15:00,2025-08-08 11:00,907,588,260,N,DEPARTED
T3(S),HMM,HOBD003,0016W/0016W,HMM HANBADA,AG1,2025-08-07 22:06,2025-08-08 10:06,2025-08-09 15:00,1590,1459,32,N,DEPARTED
T2(S),HMM,HHFC002,0111W/0111W,HYUNDAI FORCE,FIL,2025-08-08 01:00,2025-08-08 13:00,2025-08-09 10:00,586,415,242,N,DEPARTED
T1(S),ONE,OCBD001,0275S/0275S,CALLAO BRIDGE,CTP,2025-08-08 06:12,2025-08-08 18:12,2025-08-09 14:00,657,666,0,N,DEPARTED
T2(S),HMM,HORB004,0008E/0008E,HMM RUBY,PS6E,2025-08-09 00:00,2025-08-09 12:00,2025-08-10 13:00,378,1827,0,N,DEPARTED
T1(S),ONE,OSZE021,2141N/2141N,SEABREEZE,JPHN,2025-08-09 04:00,2025-08-09 16:00,2025-08-10 08:00,316,356,10,N,DEPARTED
T3(S),FES,JIYU013,1061N/1061N,JI YU,JRX,2025-08-09 05:24,2025-08-09 17:24,2025-08-09 23:00,69,40,2,N,DEPARTED
T3(S),ONE,OHPP001,0042E/0042E,HYUNDAI PLUTO,EC2E,2025-08-09 13:06,2025-08-10 01:06,2025-08-11 03:00,223,2190,252,Y,DEPARTED
T1(S),FES,HVDK006,0128S/0128S,VLADIVOSTOK,AAC,2025-08-09 23:06,2025-08-10 11:06,2025-08-10 17:00,198,0,0,N,DEPARTED
T2(S),HMM,HOGN002,0006E/0006E,HMM GARNET,MS2E,2025-08-10 04:18,2025-08-10 16:18,2025-08-11 14:00,710,1142,204,N,DEPARTED
T1(S),ONE,OTDN010,0028S/0028S,TS DALIAN,JPHS,2025-08-10 07:00,2025-08-10 19:00,2025-08-11 14:00,717,450,0,N,DEPARTED
T3(S),FES,FESO004,706N/706N,FESCO SOFIA,KRS,2025-08-10 17:00,2025-08-11 05:00,2025-08-11 13:00,0,227,0,N,DEPARTED
T3(S),HMM,HOMC011,0010W/0010W,HMM MIRACLE,ICN,2025-08-11 04:18,2025-08-11 16:18,2025-08-12 04:00,703,170,0,N,DEPARTED
T2(S),ONE,ONLV002,0007E/0007E,NAVIOS LAPIS,FLX,2025-08-11 18:18,2025-08-12 06:18,2025-08-13 01:00,326,1293,0,N,DEPARTED
T1(S),HMM,HOTQ004,0005E/0005E,HMM TURQUOISE,PS6E,2025-08-12 01:18,2025-08-12 13:18,2025-08-13 16:00,321,1760,0,N,DEPARTED
T3(S),YML,MWLH003,0185W/0185W,YM WEALTH,PN3W,2025-08-12 12:00,2025-08-13 00:00,2025-08-14 00:00,1071,800,16,N,DEPARTED
T2(S),HMM,HOHM009,0012S/0012S,HMM HARMONY,ICN,2025-08-12 15:12,2025-08-13 03:12,2025-08-13 17:00,348,443,0,N,DEPARTED
T1(S),ONE,OTUN008,0011S/0011S,STARSHIP NEPTUNE,CTP,2025-08-13 06:28,2025-08-13 18:28,2025-08-14 05:00,506,476,0,N,DEPARTED
T2(S),ONE,OOII002,0034E/0034E,ONE IBIS,EC2E,2025-08-13 08:12,2025-08-13 20:12,2025-08-14 21:00,230,2338,40,N,DEPARTED
T3(S),FES,FDMD003,707N/707N,FESCO DIOMID,KRS,2025-08-13 14:00,2025-08-14 02:00,2025-08-14 10:00,0,292,0,N,DEPARTED
T1(S),XPR,ASCR032,0033W/0033W,AS CHRISTIANA,BH2,2025-08-13 20:00,2025-08-14 08:00,2025-08-15 08:00,1028,816,0,N,DEPARTED
T3(S),HMM,HOGE002,0002W/0002W,HMM GREEN,FIM,2025-08-14 01:00,2025-08-14 13:00,2025-08-15 11:00,1129,868,50,N,DEPARTED
T2(S),HMM,HHGR005,0147N/0147N,HYUNDAI GRACE,NEAX,2025-08-14 11:00,2025-08-14 23:00,2025-08-15 22:00,1230,369,442,N,DEPARTED
T1(S),ONE,OLSF019,0223N/0223N,LOS ANDES BRIDGE,JPHN,2025-08-14 22:00,2025-08-15 10:00,2025-08-15 21:00,307,375,0,N,DEPARTED
T3(S),ONE,OCIK001,0007W/0007W,CONTI CORTESIA,PS3W,2025-08-15 01:00,2025-08-15 13:00,2025-08-16 13:00,729,487,56,Y,DEPARTED
T1(S),RCL,PLWN009,0015S/0015S,PALAWAN,CTP,2025-08-15 11:00,2025-08-15 23:00,2025-08-16 12:00,162,575,6,N,DEPARTED
T2(S),HMM,HOHL004,0021W/0021W,HMM HANUL,AG1,2025-08-15 12:30,2025-08-16 00:30,2025-08-16 23:00,895,1480,238,N,DEPARTED
T1(S),HMM,HHHV003,0002S/0002S,HMM HARVEST,ICN,2025-08-16 02:00,2025-08-16 14:00,2025-08-17 02:00,301,489,0,N,DEPARTED
T2(S),FES,FESO005,709S/709S,FESCO SOFIA,AAC,2025-08-16 13:00,2025-08-17 01:00,2025-08-17 07:00,253,0,0,N,DEPARTED
T1(S),HMM,HHPT004,0111E/0111E,HYUNDAI PRESTIGE,FLX,2025-08-17 05:24,2025-08-17 17:24,2025-08-18 09:00,244,1229,0,N,DEPARTED
T2(S),HMM,HOTP004,0007E/0007E,HMM TOPAZ,PS6E,2025-08-17 11:00,2025-08-17 23:00,2025-08-18 21:00,199,2167,0,N,DEPARTED
T1(S),ONE,OSZE022,2142S/2142S,SEABREEZE,JPHS,2025-08-18 20:00,2025-08-19 08:00,2025-08-20 00:00,527,593,6,N,DEPARTED
T3(S),ONE,OONM001,0077W/0077W,ONE MARVEL,PS3W,2025-08-18 22:00,2025-08-19 10:00,2025-08-20 02:00,1254,262,124,N,DEPARTED
T3(S),ONE,OPXE001,0006S/0006S,PHOEBE,NEAX,2025-08-19 23:00,2025-08-20 11:00,2025-08-20 22:00,0,770,0,N,DEPARTED
T1(S),YML,YTLY002,0025E/0025E,YM TOTALITY,EC2E,2025-08-20 00:54,2025-08-20 12:54,2025-08-21 09:00,297,1937,0,N,DEPARTED
T3(S),ONE,OTDN011,0028N/0028N,TS DALIAN,JPHN,2025-08-20 15:30,2025-08-21 03:30,2025-08-21 15:00,373,346,0,N,DEPARTED
T2(S),HMM,HTWE001,0100W/0100W,SEASPAN BELLWETHER,FIM,2025-08-20 16:12,2025-08-21 04:12,2025-08-21 18:42,0,943,6,N,DEPARTED
T1(S),YML,YMDT001,0099W/0099W,YM MANDATE,PS3W,2025-08-21 03:18,2025-08-21 15:18,2025-08-22 07:00,548,424,0,N,DEPARTED
T3(S),XPR,ASCR033,0034W/0034W,AS CHRISTIANA,BH2,2025-08-21 05:06,2025-08-21 17:06,2025-08-22 10:00,1077,392,0,N,DEPARTED
T2(S),ONE,OUER002,0008E/0008E,ONE FRUITION,MS2E,2025-08-21 12:54,2025-08-22 00:54,2025-08-23 03:00,956,1139,102,Y,DEPARTED
T1(S),MSC,MGAI001,QK530R/FD533W,MSC GAIA,AAB,2025-08-21 21:18,2025-08-22 09:18,2025-08-23 17:00,1691,1389,66,N,DEPARTED
T3(S),HMM,HOMT010,0007S/0007S,HMM MASTER,ICN,2025-08-22 10:00,2025-08-22 22:00,2025-08-23 17:00,305,537,0,N,DEPARTED
T2(S),HMM,HOGR003,0016W/0016W,HMM GARAM,AG1,2025-08-22 17:54,2025-08-23 05:54,2025-08-24 03:00,897,1623,14,Y,DEPARTED
T3(S),FES,JIYU014,1062N/1062N,JI YU,JRX,2025-08-23 06:42,2025-08-23 18:42,2025-08-24 02:00,116,22,2,N,DEPARTED
T2(S),ONE,OCRN002,0097E/0097E,MOL CREATION,EC2E,2025-08-23 18:00,2025-08-24 06:00,2025-08-25 08:00,458,1626,194,N,DEPARTED
T3(S),ONE,OLSF020,0224S/0224S,LOS ANDES BRIDGE,JPHS,2025-08-23 18:12,2025-08-24 06:12,2025-08-24 18:00,455,417,0,N,DEPARTED
T1(S),YML,YTLN004,0016E/0016E,YM TRILLION,EC1E,2025-08-24 03:48,2025-08-24 15:48,2025-08-26 07:00,1353,2086,0,N,DEPARTED
T3(S),FES,DALN003,708N/708N,FESCO DALNEGORSK,KRS,2025-08-24 08:12,2025-08-24 20:12,2025-08-25 09:00,135,286,0,N,DEPARTED
T2(S),MSC,MBAI001,FA528R/FA528R,MSC BARI,AAB,2025-08-24 22:00,2025-08-25 10:00,2025-08-27 15:00,5553,587,14,N,DEPARTED
