호출부호,선사,선명,총톤수,LOA
5LFC4,MSC,MSCC.MONTAINE,149944,366
A8KY3,ONE,MARTINIQUE,28927,222
5LPR4,MSC,MSCROME,151702,366
HPFH,MSC,MSCFLORENTINA,75590,300
3FIA2,MSC,MSCDANIELA,151559,366
9HA5990,MSC,CATHERINEC,72805,272
CQRK,MSC,MSCBRIDGEPORT,89097,323
D5TM2,MSC,MSCFAITH,140976,366
3FBD7,MSC,MSCFLAVIA,140096,366
CQEB7,MSC,MSCAURIGA,149525,366
CQEB9,MSC,MSCVIRGO,149525,366
D5VS6,MSC,MSCYOKOHAMA,83133,300
3EEB3,MSC,MSCRANIA,94489,332
D5PE6,MSC,MSCPAOLA,37968,243
5LMW7,MSC,MSCRENV,41834,266
5LOW7,MSC,MSCMARIAGRAZIA,151702,366
V7A4772,BLA,SCOSHANGHAI,6412,134
3FMO6,MSC,MSCKATIE,140096,366
3FLE8,MSC,MSCMARIASAVERIA,140096,366
3FLY9,MSC,MSCGINA,40631,259
5LMW2,MSC,MSCGIUSY,155492,366
D5DJ5,MSC,MSCBAYIV,39941,259
3ENC5,MSC,MSCCANDICE,108930,337
9V7963,EMC,EVERUNICORN,69246,285
D5WM9,MSC,MSCIDAII,26050,195
9V7258,ZIM,KOTALAGU,39906,260
CQIP4,MSC,MSCNITYAB,113112,330
9HA3461,MSC,MSCAJACCIO,95166,300
C4VG2,MSC,MSCNADIAIV,38332,247
5LGR6,MSC,MSCILLINOISVII,74583,304
5LGE5,MSC,MSCFREEPORT,54193,294
CQIP3,MSC,MSCSHREYAB,113112,330
A8JX3,MSC,MSCKILIMANJAROIV,40110,260
3EUI7,MSC,MSCCAPELLA,141635,366
D5HE9,HLC,COCHRANE,93685,300
CQEP6,MSC,MSCBERNV,40807,261
5LOH9,MSC,MSCROSE,152188,364
5LMH4,MSC,MSCANCONAIII,27104,200
9HA5994,MSC,GREENVILLE,72805,272
D5WP9,MSC,MSCANDREAF,9957,147
CQGO,MSC,MSCMARITINAV,50736,266
D5TM3,MSC,MSCKANOKO,140976,366
5LIV9,MSC,MSCAUDREY,150783,365
3FUA2,MSC,MSCQINGDAOF,15988,170
3ETW2,MSC,MSCKALINA,151559,365
CQ2117,MSC,MSCLOMEV,47877,264
3FRH6,MSC,MSCIVANA,131771,363
V7PT8,HMM,HYUNDAIFORCE,95681,340
DSRA2,SKR,SINOKORNIIGATA,6490,119
A8CF3,MSC,MSCMANU,39941,260
5LMW4,MSC,MSCILENIA,155084,366
HOCR,MSC,MSCDAMLA,74071,294
VROB9,ONE,SEASPANBEACON,113042,337
3ETY3,MSC,MSCIMMAIII,30495,202
A8IU6,MSC,MSCSTARR,37113,243
3EAO2,MSC,MSCRACHELE,90745,334
5LJV3,MSC,MSCJASMINEX,92198,347
3FKL6,MSC,MSCDEILA,153115,366
HOFP,MSC,MSCNEWYORK,176490,399
CQSP,MSC,MSCAZRA,152188,364
5BMP6,MSC,MSCINIYAV,48788,294
D5UA5,MSC,MSCQINGDAO,89097,323
3EKJ3,MSC,MSCSINDY,108930,337
CQ2275,MSC,MSCDOUALAVIII,75448,272
5LNK7,MSC,MSCLORENZA,155084,366
5LJV4,MSC,MSCDENISSEX,92198,347
D5UY6,MSC,CONTIMAKALU,90745,333
3EVM7,MSC,MSCEVA,151559,366
VRRP8,HLC,NANSHAEXPRESS,113509,336
3FDA3,MSC,MSCARIANE,143521,366
3EBC5,MSC,MSCLUCY,89954,325
D5PL3,MSC,MSCNATASHAXIII,141649,366
5LPM4,MSC,MSCLAUSANNEVI,62702,283
5LQE4,MSC,MSCSIJING,21979,172
3FYE4,MSC,MSCMELATILDE,153092,365
5BNY6,MSC,MSCNEWJERSEYIII,35708,213
D5UA6,MSC,MSCTIANJIN,89097,323
C4NK2,MSC,PUSANC,108069,337
5BQU6,MSC,MSCWESTV,40839,261
5LSJ2,MSC,MSCPANTERA,74875,272
H8KT,MSC,MSCCANBERRAIII,29181,203
CQIY7,MSC,MSCJUSTICEVIII,94419,333
5LRU6,MSC,MSCMARIACRISTINA,155955,366
A8VC7,MSC,MSCFOLEGANDROSVI,66332,279
CQZL,MSC,MSCPALAK,97805,299
5LLJ6,MSC,MSCFLORIANAVI,69947,285
3FFN5,MSC,MSCULSANIII,27915,215
5LSM8,MSC,MSCSIENA,155104,366
A8PA8,MSC,MSCAMEERAIII,36007,231
CQAO7,MSC,MSCPRECISIONV,47855,264
5BFA5,MSC,MSCAPOLLO,75484,300
9V8001,HAS,PACIFICBUSAN,7170,135
VRNY5,HLC,XIAMENEXPRESS,113509,336
3EHF3,MSC,MSCVITTORIA,89954,325
5LLT8,MSC,MSCPILARVI,65918,278
D5FL8,MSC,MSCALINA,94930,300
CQAA2,MSC,ASCALIFORNIA,28340,222
A8PI5,MSC,MSCARIAIII,28097,215
5LDT6,MSC,MSCALDIIII,29021,222
5LLJ5,MSC,MSCUNIFICVI,69246,285
5LJV8,MSC,MSCCHIARAX,92198,347
D5OZ5,MSC,MSCGAYANE,103515,314
5LEB8,MSC,MSCMARA,152165,364
5LRK9,MSC,MSCTEMAVIII,75448,272
D5UJ6,MSC,GSLNINGBO,89097,323
9V8011,HAS,PACIFICTIANJIN,7464,129
D5QY9,HLC,HOUSTONEXPRESS,149475,368
3FIL2,MSC,MSCLONDON,176490,399
D5FL9,MSC,MSCSOFIAPAZ,94930,300
5LSY3,MSC,MSCIVORYCOAST,79103,260
5LLE3,MSC,MSCGIOVANNAVII,80942,299
