선석,선사,모선항차,선사항차,선명,항로,반입마감시한,접안예정일시,출항예정일시,양하,적하,Shift,AMP,상태
T3(S),HMM,HOBD003,0016W/0016W,HMM HANBADA,AG1,2025-08-02 06:00,2025-08-02 18:00,2025-08-04 09:00,1400,1600,200,N,PLANNED
T3(S),ONE,OHPP001,0042E/0042E,HYUNDAI PLUTO,EC2E,2025-08-02 08:00,2025-08-02 20:00,2025-08-04 06:00,800,3000,100,N,PLANNED
T1(S),HMM,HHFC002,0111W/0111W,HYUNDAI FORCE,FIL,2025-08-02 08:00,2025-08-02 20:00,2025-08-03 17:00,800,700,0,N,PLANNED
T1(S),ONE,OLSF018,0223S/0223S,LOS ANDES BRIDGE,JPHS,2025-08-03 18:00,2025-08-04 06:00,2025-08-05 04:00,500,600,0,N,PLANNED
T2(S),HMM,HTOP009,0014W/0014W,HAIAN OPUS,ICN,2025-08-04 07:00,2025-08-04 19:00,2025-08-05 09:00,400,300,0,N,PLANNED
T3(S),HMM,HHCR002,0119W/0119W,HYUNDAI COURAGE,FIM,2025-08-04 16:00,2025-08-05 04:00,2025-08-06 06:00,600,1400,0,N,PLANNED
T2(S),ONE,OCNT002,0021E/0021E,CONTI CONTESSA,EC1E,2025-08-05 07:00,2025-08-05 19:00,2025-08-07 06:00,1200,1400,100,N,PLANNED
T1(S),HLC,YJUX002,0114S/0114S,WIDE JULIET,NEAX,2025-08-05 20:00,2025-08-06 08:00,2025-08-07 07:00,1243,600,0,N,PLANNED
T2(S),FES,FESO004,706N/706N,FESCO SOFIA,KRS,2025-08-06 00:00,2025-08-06 12:00,2025-08-07 06:00,300,300,0,N,PLANNED
T2(S),HMM,HOGN002,0006E/0006E,HMM GARNET,MS2E,2025-08-06 13:00,2025-08-07 01:00,2025-08-08 05:00,700,1400,100,N,PLANNED
T1(S),ONE,OOII002,0034E/0034E,ONE IBIS,EC2E,2025-08-06 21:00,2025-08-07 09:00,2025-08-09 00:00,700,3200,200,N,PLANNED
T3(S),ONE,ONLV002,0007E/0007E,NAVIOS LAPIS,FLX,2025-08-07 02:00,2025-08-07 14:00,2025-08-08 07:00,300,900,0,N,PLANNED
T2(S),ONE,OCET003,0094W/0094W,ONE COMPETENCE,PS3W,2025-08-07 09:00,2025-08-07 21:00,2025-08-08 21:00,1300,700,200,N,PLANNED
T1(S),XPR,ASCR031,0032W/0032W,AS CHRISTIANA,BH2,2025-08-07 13:00,2025-08-08 01:00,2025-08-09 03:00,1100,700,0,N,PLANNED
T1(S),FES,JIYU013,1061N/1061N,JI YU,JRX,2025-08-07 20:00,2025-08-08 08:00,2025-08-08 18:00,50,50,0,N,PLANNED
T2(S),HMM,HOTQ004,0005E/0005E,HMM TURQUOISE,PS6E,2025-08-07 20:00,2025-08-08 08:00,2025-08-09 11:00,500,1800,0,N,PLANNED
T2(P),YML,YMMU004,0107W/0107W,YM MUTUALITY,PN3W,2025-08-08 05:00,2025-08-08 17:00,2025-08-09 16:00,900,600,100,N,PLANNED
T1(S),HMM,HOHM009,0012S/0012S,HMM HARMONY,ICN,2025-08-08 17:30,2025-08-09 05:30,2025-08-09 19:30,400,400,0,N,PLANNED
T2(S),HMM,HHHK001,0154W/0154W,HYUNDAI HONGKONG,FIL,2025-08-08 20:00,2025-08-09 08:00,2025-08-09 20:00,700,800,0,N,PLANNED
T2(S),HMM,HOMC011,0010W/0010W,HMM MIRACLE,ICN,2025-08-09 08:00,2025-08-09 20:00,2025-08-10 10:00,400,400,0,N,PLANNED
T1(S),HMM,HOGE002,0002W/0002W,HMM GREEN,FIM,2025-08-10 18:00,2025-08-11 06:00,2025-08-12 04:00,700,1100,0,N,PLANNED
T3(S),HMM,HHHV003,0002S/0002S,HMM HARVEST,ICN,2025-08-12 03:30,2025-08-12 15:30,2025-08-13 05:30,400,400,0,N,PLANNED
T2(S),HMM,HOHL004,0021W/0021W,HMM HANUL,AG1,2025-08-12 16:00,2025-08-13 04:00,2025-08-14 15:00,1300,1500,200,N,PLANNED
T3(S),HMM,HOTP004,0007E/0007E,HMM TOPAZ,PS6E,2025-08-12 16:00,2025-08-13 04:00,2025-08-14 07:00,500,1800,0,N,PLANNED
T1(S),FES,FDMD002,707N/707N,FESCO DIOMID,KRS,2025-08-13 00:00,2025-08-13 12:00,2025-08-14 06:00,300,300,0,N,PLANNED
T3(S),HMM,HHGR005,0147N/0147N,HYUNDAI GRACE,NEAX,2025-08-13 12:00,2025-08-14 00:00,2025-08-14 20:00,800,600,0,N,PLANNED
T1(S),HMM,HHPT004,0111E/0111E,HYUNDAI PRESTIGE,FLX,2025-08-14 02:00,2025-08-14 14:00,2025-08-15 07:00,300,900,0,N,PLANNED
T1(S),YML,YTLY002,0025E/0025E,YM TOTALITY,EC2E,2025-08-14 03:00,2025-08-14 15:00,2025-08-16 06:00,700,3200,200,N,PLANNED
T3(S),YML,MWLH003,0185W/0185W,YM WEALTH,PN3W,2025-08-14 05:00,2025-08-14 17:00,2025-08-15 16:00,900,600,100,N,PLANNED
T1(S),XPR,ASCR032,0033W/0033W,AS CHRISTIANA,BH2,2025-08-14 13:00,2025-08-15 01:00,2025-08-16 03:00,1100,700,0,N,PLANNED
T1(S),HMM,HHDA002,0013W/0013W,HMM DAVAO,ICN,2025-08-16 09:00,2025-08-16 21:00,2025-08-17 11:00,400,400,0,N,PLANNED
T2(S),ONE,OUER002,0008E/0008E,ONE FRUITION,MS2E,2025-08-17 08:00,2025-08-17 20:00,2025-08-19 00:00,700,1400,100,N,PLANNED
T2(S),ONE,OONM001,/,ONE MARVEL,PS3W,2025-08-18 00:00,2025-08-18 12:00,2025-08-19 12:00,1000,500,0,N,PLANNED
T1(S),YML,YTLN004,0016E/0016E,YM TRILLION,EC1E,2025-08-18 13:00,2025-08-19 01:00,2025-08-20 12:00,1200,1400,100,N,PLANNED
T3(S),FES,DALN003,708N/708N,FESCO DALNEGORSK,KRS,2025-08-19 00:00,2025-08-19 12:00,2025-08-20 06:00,300,300,0,N,PLANNED
T1(S),HMM,HOMT010,0007S/0007S,HMM MASTER,ICN,2025-08-19 03:30,2025-08-19 15:30,2025-08-20 05:30,400,400,0,N,PLANNED
T3(S),HMM,HOGR003,0016W/0016W,HMM GARAM,AG1,2025-08-19 15:00,2025-08-20 03:00,2025-08-21 14:00,1300,1500,200,N,PLANNED
T3(S),HMM,HOEM005,0009E/0009E,HMM EMERALD,PS6E,2025-08-19 17:00,2025-08-20 05:00,2025-08-21 08:00,500,1800,0,N,PLANNED
T2(S),HMM,HHFA003,0115W/0115W,HYUNDAI FAITH,FIL,2025-08-20 17:00,2025-08-21 05:00,2025-08-21 23:00,600,600,0,N,PLANNED
T3(S),ONE,OCRN002,0097E/0097E,MOL CREATION,EC2E,2025-08-21 03:00,2025-08-21 15:00,2025-08-23 06:00,700,3200,200,N,PLANNED
T3(S),EMC,STRO002,0124S/0124S,EVER STRONG,NEAX,2025-08-23 01:00,2025-08-23 13:00,2025-08-24 09:00,800,600,0,N,PLANNED
T3(S),HMM,HONR002,0016W/0016W,HMM NURI,AG1,2025-08-23 19:00,2025-08-24 07:00,2025-08-25 18:00,1300,1500,200,N,PLANNED
T1(S),YML,YWTH003,0048E/0048E,YM WORTH,MS2E,2025-08-24 13:00,2025-08-25 01:00,2025-08-26 05:00,700,1400,100,N,PLANNED
T2(S),YML,YORD003,0193W/0193W,YM ORCHID,PN3W,2025-08-25 05:00,2025-08-25 17:00,2025-08-26 16:00,900,600,100,N,PLANNED
